Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.2	0.134164	1.2	0.134164	0.0013136
32	100	1.42	0.129754	1.42	0.129754	0.00166868
64	100	1.71	0.153163	1.71	0.153163	0.00272074
128	100	1.52	0.137463	1.52	0.137463	0.00556731
256	100	1.41	0.140068	1.41	0.140068	0.0100054
512	100	1.72	0.134224	1.72	0.134224	0.0196812
1024	100	1.57	0.123495	1.57	0.123495	0.0361096
2048	100	1.33	0.118368	1.33	0.118368	0.0745106
4096	100	1.64	0.120433	1.64	0.120433	0.147317
8192	100	1.52	0.115308	1.52	0.115308	0.304079
16384	100	1.65	0.12114	1.65	0.12114	0.629721
32768	100	1.42	0.108793	1.42	0.108793	1.21873
65536	100	1.6	0.116619	1.6	0.116619	2.32986
