Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.03	0.0963898	1.03	0.0963898	0.000374936
32	100	1.42	0.0981631	1.42	0.0981631	0.000480083
64	100	1.69	0.0924067	1.69	0.0924067	0.000888902
128	100	1.99	0.0768049	1.99	0.0768049	0.00166728
256	100	2.1	0.05	2.1	0.05	0.00318185
512	100	2.24	0.0449889	2.24	0.0449889	0.00610431
1024	100	2.26	0.0438634	2.26	0.0438634	0.0118648
2048	100	2.18	0.0384187	2.18	0.0384187	0.0235843
4096	100	2.25	0.0433013	2.25	0.0433013	0.046772
8192	100	2.19	0.0392301	2.19	0.0392301	0.0933481
16384	100	2.28	0.0448999	2.28	0.0448999	0.18653
32768	100	2.26	0.0438634	2.26	0.0438634	0.383724
65536	100	2.27	0.0443959	2.27	0.0443959	0.796424
