Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.54	0.156474	1.54	0.156474	0.00146293
32	100	1.42	0.142955	1.42	0.142955	0.00214112
64	100	1.43	0.14509	1.43	0.14509	0.00300901
128	100	1.31	0.131678	1.31	0.131678	0.00618321
256	100	1.31	0.143314	1.31	0.143314	0.0114564
512	100	1.31	0.137619	1.31	0.137619	0.0202011
1024	100	1.57	0.149168	1.57	0.149168	0.0252629
2048	100	1.74	0.136836	1.74	0.136836	0.0450831
4096	100	1.48	0.128437	1.48	0.128437	0.101027
8192	100	1.71	0.13061	1.71	0.13061	0.214854
16384	100	1.74	0.117149	1.74	0.117149	0.349232
32768	100	1.31	0.111081	1.31	0.111081	0.716795
65536	100	1.47	0.108125	1.47	0.108125	1.42324
