Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
16	100	1.26	0.143958	1.26	0.143958	0.000985847
32	100	1.46	0.150612	1.46	0.150612	0.0012149
64	100	1.62	0.15734	1.62	0.15734	0.00201266
128	100	1.72	0.159424	1.72	0.159424	0.00350552
256	100	1.67	0.154308	1.67	0.154308	0.00661789
512	100	1.64	0.150678	1.64	0.150678	0.0126018
1024	100	1.78	0.161604	1.78	0.161604	0.0240369
2048	100	2.27	0.158022	2.27	0.158022	0.0467366
4096	100	2.42	0.165638	2.42	0.165638	0.0944357
8192	100	2.45	0.150582	2.45	0.150582	0.187811
16384	100	3.13	0.129348	3.13	0.129348	0.36168
32768	100	3.4	0.106771	3.4	0.106771	0.743738
65536	100	3.37	0.0901721	3.37	0.0901721	1.45724
